ime,id,gorovje,visina,vrsta,priljubljenost,mesto_priljubljenosti,stevilo_poti,opis
Ahac,1950,"Goriško, Notranjsko in Snežniško hribovje",799,"vrh, cerkev",45,1382,5,"Ahac oz. sv. Ahac je 799 m visok vrh, ki se nahaja vzhodno od Ilirske Bistrice. Z vrha, na katerem so vpisna skrinjica, križ in razvaline nekdanje cerkvice sv. Ahaca, zaradi gozda ni razgleda."
Ajdovščina,2566,"Goriško, Notranjsko in Snežniško hribovje",804,vrh,19,2057,1,"Ajdovščina je 804 metre visok vrh, ki se nahaja nad Rodikom in Slopami. Na poraščenem vrhu danes stoji kovinski kontejner, vidne pa so še ruševine nekdanje naseljenosti vrha in sicer iz 1. in 2. stoletja našega štetja."
Ankaran,891,"Goriško, Notranjsko in Snežniško hribovje",18,,78,547,3,"Ankaran je naselje ob slovenski obali, ki se nahaja na Ankaranskem oz. Miljskem polotoku. V Ankaranu se je včasih končala oz. začela Slovenska planinska pot (SPP), danes pa je le ta podaljšana do Debelega rtiča. Žig SPP za Ankaran se dobi v Baru Korta (Regentova ulica 2, 6280 Ankaran)."
Baba (pri Javornikih),2594,"Goriško, Notranjsko in Snežniško hribovje",1085,vrh,18,2084,2,"Baba je 1085 metrov visok vrh, ki se nahaja med grebenom Javornikov in Sveto Trojico. S travnatega vrha, se nam odpre lep pogled na greben Javornikov, Snežnik, Sveto Trojico, Nanos, Pivško in Postojnsko kotlino, ob lepi vidljivosti pa razgled seže vse do Alp."
Bela stena,1740,"Goriško, Notranjsko in Snežniško hribovje",1122,vrh,51,1236,1,"Bela stena (tudi samo Stene) je razgledna točka, ki se nahaja zahodno od Dolenje vasi v ribniški dolini, točneje nad vasjo Zadolje. Z vrha Bele stene, le ta se prepadno spušča, se nam odpre lep razgled na Malo goro, ribniško dolino, ob lepem vremenu pa razgled seže vse do Kamniško Savinjskih Alp. V bližini razgledne točke a se nahaja tudi vpisna skrinjica z vpisno knjigo in žigom."
Bele ovce,1227,"Goriško, Notranjsko in Snežniško hribovje",1029,vrh,52,1204,1,"Bele ovce so neporaščen vrh, ki se nahaja vzhodno od Volovje rebri. Z vrha se nam tako ob lepem vremenu odpre čudovit pogled na okoliško hribovje, kraška polja ter v daljavi Dolomite in Julijske Alpe."
Bele stene,1144,"Goriško, Notranjsko in Snežniško hribovje",863,,48,1310,2,"Bele stene se nahajajo severno od vasi Jurišče na vzhodnem obrobju Jerusov. Z vrha Belih sten, kjer se nahaja tudi vpisna skrinjica je lep razgled predvsem proti vzhodu, kjer lepo vidimo Kršičevec, Dedno goro, Snežnik in ostale vrhove, ki obdajajo vzhodni del Pivške kotline."
Belovka,2135,"Goriško, Notranjsko in Snežniško hribovje",848,vrh,38,1579,2,"Belovka je 848 metrov visok hrib, ki se nahaja na Bloški planoti, točneje med naselji Studenec na Blokah, Runarsko, Ravne na Blokah in Topol. Z deloma travnatega vrha, na katerega ne vodi nobena markirana pot, se nam ob lepem vremenu odpre lep razgled, ki seže vse od bližnjih naselij do Snežnika, Javornikov in Slivnice, ob dobri vidljivosti pa razgled seže vse do Triglava."
Bezgarska planina,2556,"Goriško, Notranjsko in Snežniško hribovje",895,planina,11,2254,4,"Bezgarska planina se nahaja zahodno od Borovške gore nad Zgornjo Kolpsko dolino. Na planini se nahaja označeno razpotje, večja lovska opazovalnica, v kateri je po predhodnem dogovoru z lovsko družino možno tudi prespati."
Bivak Črna peč,1416,"Goriško, Notranjsko in Snežniško hribovje",830,bivak,48,1313,2,"Bivak Črna peč je bivak zaprtega tipa in je last lovske družine Čaven. Od bivaka, ki se nahaja pod strmimi pobočji Črne peči, zaradi gozda ni razgleda."
